periodo,y,estado
2014-09,271,RR
2014-09,12,RS
2014-09,38,SC
2014-09,263,SE
2014-09,7474,SP
2014-09,280,TO
2014-10,9250,AC
2014-10,1046,AL
2014-10,331,AM
2014-10,498,AP
2014-10,1281,BA
2014-10,1729,CE
2014-10,180,DF
2014-10,830,ES
2014-10,3407,GO
2014-10,93,MA
2014-10,2014,MG
2014-10,477,MS
2014-10,478,MT
2014-10,564,PA
2014-10,305,PB
2014-10,964,PE
2014-10,271,PI
2014-10,1516,PR
2014-10,954,RJ
2014-10,702,RN
2014-10,280,RO
2014-10,221,RR
2014-10,30,RS
2014-10,47,SC
2014-10,197,SE
2014-10,8682,SP
2014-10,384,TO
2014-11,6605,AC
2014-11,680,AL
2014-11,474,AM
2014-11,350,AP
2014-11,982,BA
2014-11,1390,CE
2014-11,272,DF
2014-11,945,ES
2014-11,4070,GO
2014-11,122,MA
2014-11,2275,MG
2014-11,532,MS
2014-11,496,MT
2014-11,503,PA
2014-11,257,PB
2014-11,1049,PE
2014-11,245,PI
2014-11,1547,PR
2014-11,605,RJ
2014-11,647,RN
2014-11,545,RO
2014-11,190,RR
2014-11,50,RS
2014-11,44,SC
2014-11,219,SE
2014-11,8179,SP
2014-11,434,TO
2014-12,4537,AC
2014-12,522,AL
2014-12,480,AM
2014-12,146,AP
2014-12,850,BA
2014-12,1749,CE
2014-12,221,DF
2014-12,760,ES
2014-12,5043,GO
2014-12,239,MA
2014-12,2189,MG
2014-12,629,MS
2014-12,641,MT
2014-12,488,PA
2014-12,230,PB
2014-12,1369,PE
2014-12,169,PI
2014-12,1463,PR
2014-12,797,RJ
2014-12,713,RN
2014-12,385,RO
2014-12,185,RR
2014-12,47,RS
2014-12,38,SC
2014-12,277,SE
2014-12,10356,SP
2014-12,591,TO
2015-01,3735,AC
2015-01,933,AL
2015-01,749,AM
2015-01,419,AP
2015-01,1377,BA
2015-01,2755,CE
2015-01,454,DF
2015-01,1222,ES
2015-01,13279,GO
2015-01,536,MA
2015-01,5667,MG
2015-01,1945,MS
2015-01,1023,MT
2015-01,644,PA
2015-01,378,PB
2015-01,2951,PE
2015-01,251,PI
2015-01,3128,PR
2015-01,3720,RJ
2015-01,1498,RN
2015-01,525,RO
2015-01,230,RR
2015-01,97,RS
2015-01,268,SC
2015-01,525,SE
2015-01,47993,SP
2015-01,780,TO
2015-02,2284,AC
2015-02,1533,AL
2015-02,828,AM
2015-02,633,AP
2015-02,3179,BA
2015-02,4052,CE
2015-02,837,DF
2015-02,999,ES
2015-02,22223,GO
2015-02,758,MA
2015-02,10901,MG
2015-02,3735,MS
2015-02,1604,MT
2015-02,1357,PA
2015-02,726,PB
2015-02,5447,PE
2015-02,479,PI
2015-02,6421,PR
2015-02,4859,RJ
2015-02,2663,RN
2015-02,630,RO
2015-02,180,RR
2015-02,101,RS
2015-02,1882,SC
2015-02,648,SE
2015-02,143143,SP
2015-02,1291,TO
2015-03,2258,AC
2015-03,2100,AL
2015-03,1177,AM
2015-03,1066,AP
2015-03,13350,BA
2015-03,10528,CE
2015-03,1551,DF
2015-03,1781,ES
2015-03,37334,GO
2015-03,2811,MA
2015-03,35003,MG
2015-03,6816,MS
2015-03,3201,MT
2015-03,2901,PA
2015-03,3245,PB
2015-03,20501,PE
2015-03,2358,PI
2015-03,20536,PR
2015-03,12913,RJ
2015-03,7772,RN
2015-03,985,RO
2015-03,164,RR
2015-03,698,RS
2015-03,2813,SC
2015-03,1682,SE
2015-03,322982,SP
2015-03,3167,TO
2015-04,1731,AC
2015-04,3199,AL
2015-04,849,AM
2015-04,578,AP
2015-04,15375,BA
2015-04,18002,CE
2015-04,2951,DF
2015-04,3155,ES
2015-04,36758,GO
2015-04,2188,MA
2015-04,71197,MG
2015-04,8677,MS
2015-04,4847,MT
2015-04,2223,PA
2015-04,5300,PB
2015-04,30062,PE
2015-04,3537,PI
2015-04,27682,PR
2015-04,17927,RJ
2015-04,8224,RN
2015-04,884,RO
2015-04,195,RR
2015-04,1558,RS
2015-04,2682,SC
2015-04,2052,SE
2015-04,270722,SP
2015-04,3291,TO
2015-05,1219,AC
2015-05,4368,AL
2015-05,838,AM
2015-05,467,AP
2015-05,12737,BA
2015-05,26607,CE
2015-05,2987,DF
2015-05,5551,ES
2015-05,40608,GO
2015-05,1072,MA
2015-05,72094,MG
2015-05,5755,MS
2015-05,5498,MT
2015-05,1968,PA
2015-05,7433,PB
2015-05,26856,PE
2015-05,2370,PI
2015-05,14078,PR
2015-05,18160,RJ
2015-05,3915,RN
2015-05,583,RO
2015-05,208,RR
2015-05,761,RS
2015-05,1441,SC
2015-05,1090,SE
2015-05,134327,SP
2015-05,2903,TO
2015-06,596,AC
2015-06,3925,AL
2015-06,775,AM
2015-06,261,AP
2015-06,7742,BA
2015-06,19980,CE
2015-06,1902,DF
2015-06,4812,ES
2015-06,20932,GO
2015-06,493,MA
2015-06,24862,MG
2015-06,2570,MS
2015-06,3418,MT
2015-06,1320,PA
2015-06,4369,PB
2015-06,13805,PE
2015-06,1060,PI
2015-06,5817,PR
2015-06,10108,RJ
2015-06,1397,RN
2015-06,302,RO
2015-06,303,RR
2015-06,231,RS
2015-06,588,SC
2015-06,353,SE
2015-06,35562,SP
2015-06,1983,TO
2015-07,383,AC
2015-07,3511,AL
2015-07,534,AM
2015-07,236,AP
2015-07,7378,BA
2015-07,10705,CE
2015-07,708,DF
2015-07,3882,ES
2015-07,6993,GO
2015-07,379,MA
2015-07,6693,MG
2015-07,1025,MS
2015-07,1806,MT
2015-07,897,PA
2015-07,2538,PB
2015-07,7426,PE
2015-07,377,PI
2015-07,2683,PR
2015-07,4745,RJ
2015-07,638,RN
2015-07,181,RO
2015-07,335,RR
2015-07,89,RS
2015-07,278,SC
2015-07,266,SE
2015-07,11823,SP
2015-07,956,TO
2015-08,253,AC
2015-08,2060,AL
2015-08,412,AM
2015-08,205,AP
2015-08,4220,BA
2015-08,6211,CE
2015-08,331,DF
2015-08,3273,ES
2015-08,3599,GO
2015-08,232,MA
2015-08,2968,MG
2015-08,748,MS
2015-08,1342,MT
2015-08,1162,PA
2015-08,1146,PB
2015-08,4268,PE
2015-08,271,PI
2015-08,2668,PR
2015-08,3480,RJ
2015-08,455,RN
2015-08,144,RO
2015-08,507,RR
2015-08,92,RS
2015-08,183,SC
2015-08,734,SE
2015-08,7655,SP
2015-08,591,TO
2015-09,288,AC
2015-09,1973,AL
2015-09,401,AM
2015-09,196,AP
2015-09,3405,BA
2015-09,2769,CE
2015-09,144,DF
2015-09,3295,ES
2015-09,2183,GO
2015-09,164,MA
2015-09,2392,MG
2015-09,749,MS
2015-09,1109,MT
2015-09,1153,PA
2015-09,576,PB
2015-09,5972,PE
2015-09,131,PI
2015-09,2161,PR
2015-09,2230,RJ
2015-09,271,RN
2015-09,126,RO
2015-09,424,RR
2015-09,60,RS
2015-09,220,SC
2015-09,1559,SE
2015-09,7135,SP
2015-09,454,TO
2015-10,345,AC
2015-10,2770,AL
2015-10,391,AM
2015-10,109,AP
2015-10,2272,BA
2015-10,1558,CE
2015-10,171,DF
2015-10,4293,ES
2015-10,2809,GO
2015-10,226,MA
2015-10,2733,MG
2015-10,1198,MS
2015-10,1206,MT
2015-10,879,PA
2015-10,285,PB
2015-10,7517,PE
2015-10,108,PI
2015-10,2359,PR
2015-10,1944,RJ
2015-10,288,RN
2015-10,243,RO
2015-10,107,RR
2015-10,65,RS
2015-10,206,SC
2015-10,1543,SE
2015-10,9986,SP
2015-10,441,TO
2015-11,421,AC
2015-11,4291,AL
2015-11,280,AM
2015-11,170,AP
2015-11,3092,BA
2015-11,1199,CE
2015-11,302,DF
2015-11,4734,ES
2015-11,4635,GO
2015-11,258,MA
2015-11,5936,MG
2015-11,3982,MS
2015-11,2032,MT
2015-11,947,PA
2015-11,486,PB
2015-11,21146,PE
2015-11,107,PI
2015-11,3225,PR
2015-11,3290,RJ
2015-11,313,RN
2015-11,378,RO
2015-11,53,RR
2015-11,90,RS
2015-11,335,SC
2015-11,2490,SE
2015-11,14256,SP
2015-11,829,TO
2015-12,818,AC
2015-12,3292,AL
2015-12,602,AM
2015-12,94,AP
2015-12,5205,BA
2015-12,1520,CE
2015-12,643,DF
2015-12,8012,ES
2015-12,9101,GO
2015-12,594,MA
2015-12,17906,MG
2015-12,10488,MS
2015-12,5133,MT
2015-12,1638,PA
2015-12,3488,PB
2015-12,26965,PE
2015-12,194,PI
2015-12,7322,PR
2015-12,9903,RJ
2015-12,944,RN
2015-12,916,RO
2015-12,91,RR
2015-12,290,RS
2015-12,615,SC
2015-12,1832,SE
2015-12,27486,SP
2015-12,2469,TO
2016-01,1517,AC
2016-01,4000,AL
2016-01,1441,AM
2016-01,148,AP
2016-01,8352,BA
2016-01,2952,CE
2016-01,2265,DF
2016-01,12062,ES
2016-01,20480,GO
2016-01,2308,MA
2016-01,64418,MG
2016-01,20651,MS
2016-01,9069,MT
2016-01,2375,PA
2016-01,5097,PB
2016-01,30606,PE
2016-01,415,PI
2016-01,17861,PR
2016-01,20293,RJ
2016-01,3762,RN
2016-01,3002,RO
2016-01,60,RR
2016-01,653,RS
2016-01,1286,SC
2016-01,1160,SE
2016-01,67638,SP
2016-01,4338,TO
2016-02,2599,AC
2016-02,4646,AL
2016-02,2518,AM
2016-02,421,AP
2016-02,24608,BA
2016-02,6344,CE
2016-02,6001,DF
2016-02,13289,ES
2016-02,36037,GO
2016-02,6009,MA
2016-02,160763,MG
2016-02,18091,MS
2016-02,10009,MT
2016-02,4081,PA
2016-02,8927,PB
2016-02,36849,PE
2016-02,775,PI
2016-02,31069,PR
2016-02,21149,RJ
2016-02,17561,RN
2016-02,4019,RO
2016-02,75,RR
2016-02,1357,RS
2016-02,3028,SC
2016-02,2127,SE
2016-02,109163,SP
2016-02,5730,TO
2016-03,1797,AC
2016-03,5208,AL
2016-03,2402,AM
2016-03,685,AP
2016-03,25728,BA
2016-03,10831,CE
2016-03,6802,DF
2016-03,12443,ES
2016-03,39075,GO
2016-03,7986,MA
2016-03,202922,MG
2016-03,11856,MS
2016-03,5641,MT
2016-03,3827,PA
2016-03,12189,PB
2016-03,26018,PE
2016-03,975,PI
2016-03,37914,PR
2016-03,23237,RJ
2016-03,21847,RN
2016-03,3329,RO
2016-03,132,RR
2016-03,2473,RS
2016-03,4768,SC
2016-03,1490,SE
2016-03,131765,SP
2016-03,3565,TO
2016-04,1194,AC
2016-04,3559,AL
2016-04,2802,AM
2016-04,541,AP
2016-04,11073,BA
2016-04,18432,CE
2016-04,4022,DF
2016-04,8620,ES
2016-04,26513,GO
2016-04,7262,MA
2016-04,154810,MG
2016-04,6295,MS
2016-04,2206,MT
2016-04,3178,PA
2016-04,7943,PB
2016-04,10097,PE
2016-04,2427,PI
2016-04,28558,PR
2016-04,24342,RJ
2016-04,7812,RN
2016-04,1875,RO
2016-04,104,RR
2016-04,2210,RS
2016-04,2997,SC
2016-04,810,SE
2016-04,81167,SP
2016-04,2096,TO
2016-05,576,AC
2016-05,2803,AL
2016-05,1698,AM
2016-05,344,AP
2016-05,4963,BA
2016-05,23140,CE
2016-05,2319,DF
2016-05,3158,ES
2016-05,13222,GO
2016-05,3077,MA
2016-05,56112,MG
2016-05,1812,MS
2016-05,904,MT
2016-05,1785,PA
2016-05,5011,PB
2016-05,5619,PE
2016-05,1738,PI
2016-05,6544,PR
2016-05,13037,RJ
2016-05,5275,RN
2016-05,887,RO
2016-05,106,RR
2016-05,673,RS
2016-05,859,SC
2016-05,319,SE
2016-05,30579,SP
2016-05,1719,TO
2016-06,362,AC
2016-06,1635,AL
2016-06,1331,AM
2016-06,251,AP
2016-06,2106,BA
2016-06,15461,CE
2016-06,1099,DF
2016-06,964,ES
2016-06,5396,GO
2016-06,1091,MA
2016-06,11198,MG
2016-06,441,MS
2016-06,398,MT
2016-06,921,PA
2016-06,3103,PB
2016-06,3388,PE
2016-06,982,PI
2016-06,1623,PR
2016-06,5061,RJ
2016-06,3181,RN
2016-06,392,RO
2016-06,168,RR
2016-06,93,RS
2016-06,139,SC
2016-06,271,SE
2016-06,8266,SP
2016-06,769,TO
2016-07,192,AC
2016-07,1103,AL
2016-07,799,AM
2016-07,228,AP
2016-07,1224,BA
2016-07,8771,CE
2016-07,471,DF
2016-07,659,ES
2016-07,2240,GO
2016-07,767,MA
2016-07,2684,MG
2016-07,217,MS
2016-07,285,MT
2016-07,657,PA
2016-07,1468,PB
2016-07,2105,PE
2016-07,416,PI
2016-07,1291,PR
2016-07,2697,RJ
2016-07,1696,RN
2016-07,339,RO
2016-07,409,RR
2016-07,83,RS
2016-07,131,SC
2016-07,256,SE
2016-07,4309,SP
2016-07,314,TO
2016-08,162,AC
2016-08,768,AL
2016-08,577,AM
2016-08,354,AP
2016-08,963,BA
2016-08,5079,CE
2016-08,234,DF
2016-08,566,ES
2016-08,1970,GO
2016-08,609,MA
2016-08,2035,MG
2016-08,252,MS
2016-08,353,MT
2016-08,610,PA
2016-08,457,PB
2016-08,1938,PE
2016-08,299,PI
2016-08,1432,PR
2016-08,1330,RJ
2016-08,969,RN
2016-08,163,RO
2016-08,453,RR
2016-08,123,RS
2016-08,150,SC
2016-08,376,SE
2016-08,3984,SP
2016-08,247,TO
2016-09,121,AC
2016-09,425,AL
2016-09,380,AM
2016-09,205,AP
2016-09,787,BA
2016-09,2779,CE
2016-09,153,DF
2016-09,524,ES
2016-09,2131,GO
2016-09,203,MA
2016-09,1855,MG
2016-09,263,MS
2016-09,335,MT
2016-09,463,PA
2016-09,221,PB
2016-09,1297,PE
2016-09,147,PI
2016-09,1588,PR
2016-09,812,RJ
2016-09,456,RN
2016-09,141,RO
2016-09,187,RR
2016-09,71,RS
2016-09,162,SC
2016-09,183,SE
2016-09,4391,SP
2016-09,142,TO
2016-10,125,AC
2016-10,251,AL
2016-10,338,AM
2016-10,164,AP
2016-10,1055,BA
2016-10,2194,CE
2016-10,170,DF
2016-10,518,ES
2016-10,2655,GO
2016-10,137,MA
2016-10,2355,MG
2016-10,269,MS
2016-10,414,MT
2016-10,438,PA
2016-10,336,PB
2016-10,904,PE
2016-10,121,PI
2016-10,2401,PR
2016-10,745,RJ
2016-10,259,RN
2016-10,158,RO
2016-10,111,RR
2016-10,127,RS
2016-10,171,SC
2016-10,172,SE
2016-10,6338,SP
2016-10,190,TO
2016-11,223,AC
2016-11,156,AL
2016-11,472,AM
2016-11,137,AP
2016-11,1172,BA
2016-11,2636,CE
2016-11,209,DF
2016-11,768,ES
2016-11,3333,GO
2016-11,214,MA
2016-11,3102,MG
2016-11,311,MS
2016-11,638,MT
2016-11,504,PA
2016-11,138,PB
2016-11,873,PE
2016-11,92,PI
2016-11,3050,PR
2016-11,1009,RJ
2016-11,262,RN
2016-11,382,RO
2016-11,73,RR
2016-11,176,RS
2016-11,274,SC
2016-11,152,SE
2016-11,8919,SP
2016-11,341,TO
2016-12,379,AC
2016-12,162,AL
2016-12,559,AM
2016-12,75,AP
2016-12,1409,BA
2016-12,1997,CE
2016-12,282,DF
2016-12,1422,ES
2016-12,4333,GO
2016-12,230,MA
2016-12,4661,MG
2016-12,460,MS
2016-12,955,MT
2016-12,637,PA
2016-12,74,PB
2016-12,714,PE
2016-12,120,PI
2016-12,3077,PR
2016-12,1511,RJ
2016-12,310,RN
2016-12,950,RO
2016-12,68,RR
2016-12,298,RS
2016-12,367,SC
2016-12,207,SE
2016-12,9112,SP
2016-12,435,TO
2017-01,834,AC
2017-01,206,AL
2017-01,1247,AM
2017-01,186,AP
2017-01,3033,BA
2017-01,3796,CE
2017-01,408,DF
2017-01,1986,ES
2017-01,7135,GO
2017-01,469,MA
2017-01,9962,MG
2017-01,889,MS
2017-01,1545,MT
2017-01,2425,PA
2017-01,186,PB
2017-01,1000,PE
2017-01,241,PI
2017-01,4382,PR
2017-01,2531,RJ
2017-01,625,RN
2017-01,1288,RO
2017-01,177,RR
2017-01,476,RS
2017-01,571,SC
2017-01,175,SE
2017-01,10185,SP
2017-01,1312,TO
2017-02,812,AC
2017-02,165,AL
2017-02,1353,AM
2017-02,241,AP
2017-02,2214,BA
2017-02,7717,CE
2017-02,469,DF
2017-02,1341,ES
2017-02,8596,GO
2017-02,1793,MA
2017-02,9612,MG
2017-02,871,MS
2017-02,1968,MT
2017-02,3396,PA
2017-02,304,PB
2017-02,1143,PE
2017-02,319,PI
2017-02,3373,PR
2017-02,2185,RJ
2017-02,825,RN
2017-02,1218,RO
2017-02,288,RR
2017-02,238,RS
2017-02,378,SC
2017-02,112,SE
2017-02,10735,SP
2017-02,2641,TO
2017-03,646,AC
2017-03,310,AL
2017-03,1244,AM
2017-03,255,AP
2017-03,2169,BA
2017-03,14685,CE
2017-03,919,DF
2017-03,2277,ES
2017-03,12724,GO
2017-03,2486,MA
2017-03,11260,MG
2017-03,957,MS
2017-03,2449,MT
2017-03,2535,PA
2017-03,598,PB
2017-03,1650,PE
2017-03,751,PI
2017-03,3708,PR
2017-03,2501,RJ
2017-03,1404,RN
2017-03,1448,RO
2017-03,528,RR
2017-03,235,RS
2017-03,344,SC
2017-03,182,SE
2017-03,12033,SP
2017-03,2954,TO
2017-04,432,AC
2017-04,403,AL
2017-04,965,AM
2017-04,107,AP
2017-04,1556,BA
2017-04,23061,CE
2017-04,932,DF
2017-04,1421,ES
2017-04,12452,GO
2017-04,1270,MA
2017-04,7568,MG
2017-04,679,MS
2017-04,1811,MT
2017-04,1058,PA
2017-04,377,PB
2017-04,1645,PE
2017-04,1001,PI
2017-04,2120,PR
2017-04,1836,RJ
2017-04,1180,RN
2017-04,570,RO
2017-04,479,RR
2017-04,90,RS
2017-04,261,SC
2017-04,173,SE
2017-04,8059,SP
2017-04,2207,TO
2017-05,330,AC
2017-05,585,AL
2017-05,678,AM
2017-05,156,AP
2017-05,1644,BA
2017-05,15932,CE
2017-05,1266,DF
2017-05,1203,ES
2017-05,14627,GO
2017-05,1148,MA
2017-05,6220,MG
2017-05,551,MS
2017-05,1222,MT
2017-05,1023,PA
2017-05,334,PB
2017-05,2604,PE
2017-05,2085,PI
2017-05,1610,PR
2017-05,1905,RJ
2017-05,927,RN
2017-05,405,RO
2017-05,794,RR
2017-05,93,RS
2017-05,194,SC
2017-05,211,SE
2017-05,6070,SP
2017-05,2462,TO
2017-06,243,AC
2017-06,627,AL
2017-06,447,AM
2017-06,110,AP
2017-06,1142,BA
2017-06,7329,CE
2017-06,1101,DF
2017-06,902,ES
2017-06,9750,GO
2017-06,558,MA
2017-06,3346,MG
2017-06,386,MS
2017-06,726,MT
2017-06,532,PA
2017-06,443,PB
2017-06,2455,PE
2017-06,1710,PI
2017-06,944,PR
2017-06,1280,RJ
2017-06,796,RN
2017-06,282,RO
2017-06,804,RR
2017-06,54,RS
2017-06,96,SC
2017-06,116,SE
2017-06,3947,SP
2017-06,1260,TO
2017-07,171,AC
2017-07,359,AL
2017-07,376,AM
2017-07,84,AP
2017-07,912,BA
2017-07,3088,CE
2017-07,303,DF
2017-07,481,ES
2017-07,3720,GO
2017-07,362,MA
2017-07,1459,MG
2017-07,226,MS
2017-07,414,MT
2017-07,428,PA
2017-07,406,PB
2017-07,1548,PE
2017-07,880,PI
2017-07,727,PR
2017-07,953,RJ
2017-07,653,RN
2017-07,136,RO
2017-07,825,RR
2017-07,44,RS
2017-07,89,SC
2017-07,78,SE
2017-07,2498,SP
2017-07,583,TO
2017-08,175,AC
2017-08,260,AL
2017-08,465,AM
2017-08,67,AP
2017-08,735,BA
2017-08,1584,CE
2017-08,221,DF
2017-08,597,ES
2017-08,2285,GO
2017-08,267,MA
2017-08,1540,MG
2017-08,365,MS
2017-08,417,MT
2017-08,545,PA
2017-08,585,PB
2017-08,1768,PE
2017-08,404,PI
2017-08,1082,PR
2017-08,716,RJ
2017-08,854,RN
2017-08,171,RO
2017-08,394,RR
2017-08,45,RS
2017-08,117,SC
2017-08,85,SE
2017-08,3071,SP
2017-08,439,TO
2017-09,124,AC
2017-09,181,AL
2017-09,434,AM
2017-09,68,AP
2017-09,512,BA
2017-09,1576,CE
2017-09,220,DF
2017-09,473,ES
2017-09,1986,GO
2017-09,172,MA
2017-09,1944,MG
2017-09,523,MS
2017-09,266,MT
2017-09,382,PA
2017-09,323,PB
2017-09,1288,PE
2017-09,274,PI
2017-09,1892,PR
2017-09,548,RJ
2017-09,599,RN
2017-09,134,RO
2017-09,192,RR
2017-09,61,RS
2017-09,118,SC
2017-09,68,SE
2017-09,5536,SP
2017-09,220,TO
2017-10,231,AC
2017-10,196,AL
2017-10,440,AM
2017-10,96,AP
2017-10,610,BA
2017-10,1158,CE
2017-10,221,DF
2017-10,503,ES
2017-10,2722,GO
2017-10,122,MA
2017-10,2517,MG
2017-10,536,MS
2017-10,307,MT
2017-10,407,PA
2017-10,379,PB
2017-10,1099,PE
2017-10,136,PI
2017-10,2182,PR
2017-10,684,RJ
2017-10,614,RN
2017-10,171,RO
2017-10,151,RR
2017-10,76,RS
2017-10,130,SC
2017-10,59,SE
2017-10,8054,SP
2017-10,178,TO
2017-11,460,AC
2017-11,161,AL
2017-11,323,AM
2017-11,53,AP
2017-11,479,BA
2017-11,862,CE
2017-11,200,DF
2017-11,482,ES
2017-11,2580,GO
2017-11,147,MA
2017-11,2602,MG
2017-11,608,MS
2017-11,455,MT
2017-11,426,PA
2017-11,335,PB
2017-11,918,PE
2017-11,98,PI
2017-11,2437,PR
2017-11,759,RJ
2017-11,558,RN
2017-11,247,RO
2017-11,138,RR
2017-11,85,RS
2017-11,138,SC
2017-11,64,SE
2017-11,6979,SP
2017-11,289,TO
2017-12,825,AC
2017-12,161,AL
2017-12,339,AM
2017-12,46,AP
2017-12,462,BA
2017-12,574,CE
2017-12,232,DF
2017-12,680,ES
2017-12,2624,GO
2017-12,154,MA
2017-12,3506,MG
2017-12,630,MS
2017-12,713,MT
2017-12,365,PA
2017-12,269,PB
2017-12,956,PE
2017-12,145,PI
2017-12,2501,PR
2017-12,1032,RJ
2017-12,480,RN
2017-12,291,RO
2017-12,81,RR
2017-12,113,RS
2017-12,179,SC
2017-12,24,SE
2017-12,6828,SP
2017-12,337,TO
2018-01,1250,AC
2018-01,234,AL
2018-01,608,AM
2018-01,104,AP
2018-01,977,BA
2018-01,1038,CE
2018-01,342,DF
2018-01,887,ES
2018-01,9290,GO
2018-01,246,MA
2018-01,5638,MG
2018-01,850,MS
2018-01,1607,MT
2018-01,849,PA
2018-01,411,PB
2018-01,1191,PE
2018-01,269,PI
2018-01,2831,PR
2018-01,2128,RJ
2018-01,642,RN
2018-01,377,RO
2018-01,107,RR
2018-01,191,RS
2018-01,275,SC
2018-01,30,SE
2018-01,9659,SP
2018-01,572,TO
2018-02,945,AC
2018-02,176,AL
2018-02,509,AM
2018-02,143,AP
2018-02,964,BA
